years,Noofdeaths,,,,,,,,,,,,,
2013,1500,,,,,,,,,,,,,
2014,1146,,,,,,,,,,,,,
2015,1344,,,,,,,,,,,,,
2016,890,,,,,,,,,,,,,
2017,1258,,,,,,,,,,,,,
2018,1378,,,,,,,,,,,,,
2019,1488,,,,,,,,,,,,,
2020,1153,,,,,,,,,,,,,
